path,member,year,month,variable
NATL025-CJMCYC3.001-S/1d/2010/NATL025-CJMCYC3.001_y2010m04.1d_gridW.nc,1,2010,4,W
NATL025-CJMCYC3.001-S/1d/2010/NATL025-CJMCYC3.001_y2010m05.1d_gridW.nc,1,2010,5,W
NATL025-CJMCYC3.001-S/1d/2010/NATL025-CJMCYC3.001_y2010m07.1d_gridV.nc,1,2010,7,V
NATL025-CJMCYC3.002-S/1d/2010/NATL025-CJMCYC3.002_y2010m02.1d_gridU.nc,2,2010,2,U
NATL025-CJMCYC3.002-S/1d/2010/NATL025-CJMCYC3.002_y2010m04.1d_gridV.nc,2,2010,4,V
NATL025-CJMCYC3.002-S/1d/2010/NATL025-CJMCYC3.002_y2010m08.1d_gridW.nc,2,2010,8,W
NATL025-CJMCYC3.002-S/1d/2010/NATL025-CJMCYC3.002_y2010m09.1d_gridU.nc,2,2010,9,U
NATL025-CJMCYC3.003-S/1d/2010/NATL025-CJMCYC3.003_y2010m07.1d_gridU.nc,3,2010,7,U
NATL025-CJMCYC3.003-S/1d/2010/NATL025-CJMCYC3.003_y2010m08.1d_gridU.nc,3,2010,8,U
NATL025-CJMCYC3.003-S/1d/2010/NATL025-CJMCYC3.003_y2010m10.1d_gridU.nc,3,2010,10,U
NATL025-CJMCYC3.004-S/1d/2010/NATL025-CJMCYC3.004_y2010m05.1d_gridW.nc,4,2010,5,W
NATL025-CJMCYC3.005-S/1d/2010/NATL025-CJMCYC3.005_y2010m05.1d_gridV.nc,5,2010,5,V
NATL025-CJMCYC3.005-S/1d/2010/NATL025-CJMCYC3.005_y2010m09.1d_gridV.nc,5,2010,9,V
NATL025-CJMCYC3.005-S/1d/2010/NATL025-CJMCYC3.005_y2010m10.1d_gridV.nc,5,2010,10,V
NATL025-CJMCYC3.005-S/1d/2010/NATL025-CJMCYC3.005_y2010m10.1d_gridW.nc,5,2010,10,W
NATL025-CJMCYC3.005-S/1d/2010/NATL025-CJMCYC3.005_y2010m12.1d_gridW.nc,5,2010,12,W
NATL025-CJMCYC3.006-S/1d/2010/NATL025-CJMCYC3.006_y2010m01.1d_gridU.nc,6,2010,1,U
NATL025-CJMCYC3.006-S/1d/2010/NATL025-CJMCYC3.006_y2010m02.1d_gridW.nc,6,2010,2,W
NATL025-CJMCYC3.006-S/1d/2010/NATL025-CJMCYC3.006_y2010m08.1d_gridV.nc,6,2010,8,V
NATL025-CJMCYC3.006-S/1d/2010/NATL025-CJMCYC3.006_y2010m08.1d_gridW.nc,6,2010,8,W
NATL025-CJMCYC3.006-S/1d/2010/NATL025-CJMCYC3.006_y2010m09.1d_gridU.nc,6,2010,9,U
NATL025-CJMCYC3.006-S/1d/2010/NATL025-CJMCYC3.006_y2010m09.1d_gridW.nc,6,2010,9,W
NATL025-CJMCYC3.006-S/1d/2010/NATL025-CJMCYC3.006_y2010m10.1d_gridV.nc,6,2010,10,V
NATL025-CJMCYC3.006-S/1d/2010/NATL025-CJMCYC3.006_y2010m12.1d_gridV.nc,6,2010,12,V
NATL025-CJMCYC3.007-S/1d/2010/NATL025-CJMCYC3.007_y2010m10.1d_gridW.nc,7,2010,10,W
NATL025-CJMCYC3.008-S/1d/2010/NATL025-CJMCYC3.008_y2010m02.1d_gridU.nc,8,2010,2,U
NATL025-CJMCYC3.008-S/1d/2010/NATL025-CJMCYC3.008_y2010m02.1d_gridW.nc,8,2010,2,W
NATL025-CJMCYC3.008-S/1d/2010/NATL025-CJMCYC3.008_y2010m03.1d_gridV.nc,8,2010,3,V
NATL025-CJMCYC3.008-S/1d/2010/NATL025-CJMCYC3.008_y2010m07.1d_gridW.nc,8,2010,7,W
NATL025-CJMCYC3.008-S/1d/2010/NATL025-CJMCYC3.008_y2010m08.1d_gridW.nc,8,2010,8,W
NATL025-CJMCYC3.010-S/1d/2010/NATL025-CJMCYC3.010_y2010m01.1d_gridW.nc,10,2010,1,W
NATL025-CJMCYC3.010-S/1d/2010/NATL025-CJMCYC3.010_y2010m04.1d_gridV.nc,10,2010,4,V
NATL025-CJMCYC3.010-S/1d/2010/NATL025-CJMCYC3.010_y2010m08.1d_gridU.nc,10,2010,8,U
NATL025-CJMCYC3.010-S/1d/2010/NATL025-CJMCYC3.010_y2010m10.1d_gridW.nc,10,2010,10,W
NATL025-CJMCYC3.010-S/1d/2010/NATL025-CJMCYC3.010_y2010m12.1d_gridW.nc,10,2010,12,W
NATL025-CJMCYC3.011-S/1d/2010/NATL025-CJMCYC3.011_y2010m03.1d_gridW.nc,11,2010,3,W
NATL025-CJMCYC3.011-S/1d/2010/NATL025-CJMCYC3.011_y2010m05.1d_gridV.nc,11,2010,5,V
NATL025-CJMCYC3.011-S/1d/2010/NATL025-CJMCYC3.011_y2010m09.1d_gridW.nc,11,2010,9,W
NATL025-CJMCYC3.011-S/1d/2010/NATL025-CJMCYC3.011_y2010m11.1d_gridW.nc,11,2010,11,W
NATL025-CJMCYC3.013-S/1d/2010/NATL025-CJMCYC3.013_y2010m02.1d_gridV.nc,13,2010,2,V
NATL025-CJMCYC3.013-S/1d/2010/NATL025-CJMCYC3.013_y2010m04.1d_gridV.nc,13,2010,4,V
NATL025-CJMCYC3.013-S/1d/2010/NATL025-CJMCYC3.013_y2010m06.1d_gridW.nc,13,2010,6,W
NATL025-CJMCYC3.014-S/1d/2010/NATL025-CJMCYC3.014_y2010m10.1d_gridW.nc,14,2010,10,W
NATL025-CJMCYC3.014-S/1d/2010/NATL025-CJMCYC3.014_y2010m11.1d_gridU.nc,14,2010,11,U
NATL025-CJMCYC3.015-S/1d/2010/NATL025-CJMCYC3.015_y2010m03.1d_gridV.nc,15,2010,3,V
NATL025-CJMCYC3.015-S/1d/2010/NATL025-CJMCYC3.015_y2010m06.1d_gridU.nc,15,2010,6,U
NATL025-CJMCYC3.015-S/1d/2010/NATL025-CJMCYC3.015_y2010m06.1d_gridW.nc,15,2010,6,W
NATL025-CJMCYC3.015-S/1d/2010/NATL025-CJMCYC3.015_y2010m07.1d_gridU.nc,15,2010,7,U
NATL025-CJMCYC3.015-S/1d/2010/NATL025-CJMCYC3.015_y2010m10.1d_gridW.nc,15,2010,10,W
NATL025-CJMCYC3.015-S/1d/2010/NATL025-CJMCYC3.015_y2010m11.1d_gridW.nc,15,2010,11,W
NATL025-CJMCYC3.015-S/1d/2010/NATL025-CJMCYC3.015_y2010m12.1d_gridV.nc,15,2010,12,V
NATL025-CJMCYC3.016-S/1d/2010/NATL025-CJMCYC3.016_y2010m03.1d_gridW.nc,16,2010,3,W
NATL025-CJMCYC3.016-S/1d/2010/NATL025-CJMCYC3.016_y2010m09.1d_gridU.nc,16,2010,9,U
